Code,State,2018_Median_Income,2016_Median_Income,2012_Median_Income,2008_Median_Income,2004_Median_Income,2000_Median_Income,1996_Median_Income,1992_Median_Income,1988_Median_Income,1984_Median_Income,1980_Median_Income,1976_Median_Income,Avg_Change
0,United States,63179,59039,51017,50303,44334,41990,35492,30636,27225,22415,17886,13357,-4529.333333
1,Alabama,49936,47221,43464,44476,36629,35424,30302,25808,19948,17310,13685,10060,-3625.111111
2,Alaska,68734,75723,63648,63989,55063,52847,52779,41802,33103,32356,28314,24272,-4042
4,Arizona,62283,57100,47044,46914,43846,39783,31637,29358,26435,21425,16885,12345,-4539.777778
5,Arkansas,49781,45907,39018,39586,34984,29697,27123,23882,20172,15674,11884,8094,-3789.666667
6,California,70489,66637,57020,57014,49222,46816,38812,34903,30287,25287,20265,15243,-5022.444444
8,Colorado,73034,70566,57255,60943,50886,48240,40950,32484,26214,25801,20553,15305,-5248.111111
9,Connecticut,72812,75923,64247,64682,55100,50172,42119,40841,36213,29951,25189,20427,-4762.333333
10,Delaware,65012,58046,48972,50702,48049,50365,39309,35678,30505,25819,21464,17109,-4354.777778
11,D.C.,85750,70982,65246,55590,43451,41222,31966,30247,26741,20408,13148,5888,-7260.222222
12,Florida,54644,51176,46071,44857,40535,38856,30641,27349,25406,19785,15912,12039,-3873.222222
13,Georgia,55821,53527,48121,46227,40984,41901,32496,28797,26566,19984,16002,12020,-3981.888889
15,Hawaii,80212,77969,72601,78582,72282,65982,59682,53382,47082,40782,34482,28182,-6300
16,Idaho,58728,56564,47922,47420,44358,37611,34709,27704,23450,21092,16910,12728,-4181.777778
17,Illinois,70145,61386,51738,53254,46077,46064,39554,31551,29524,23752,18597,13442,-5154.777778
18,Indiana,59892,56094,46158,46520,42329,40865,35147,28530,26293,22770,18645,14520,-4124.666667
19,Iowa,68718,59094,53442,50142,43391,40991,33209,28743,24305,19863,14435,9007,-5428.333333
20,Kansas,63938,56810,50003,47877,41066,41059,32585,30346,25566,24629,20261,15893,-4367.666667
21,Kentucky,54555,45369,41086,41148,35610,36265,32413,23485,19907,17680,13583,9486,-4097.222222
22,Louisiana,49973,42196,39085,39563,36429,30718,30262,25439,20497,18949,15502,12055,-3447.111111
23,Maine,58663,50856,49158,47228,41329,37266,34696,29617,26402,20648,16424,12200,-4223.888889
24,Maryland,86223,73760,71836,63711,57103,54535,43993,37203,36552,29708,23429,17150,-6279.444444
25,Massachusetts,86345,72266,63656,60320,52019,46753,39494,36359,33213,26959,20361,13763,-6598.444444
26,Michigan,60449,57091,50015,49788,42256,45512,39225,32267,29472,22965,18800,14635,-4164.888889
27,Minnesota,71817,70218,61795,54925,56104,54251,40991,30981,29087,24436,19171,13906,-5264.555556
28,Mississippi,42781,41099,36641,36446,34755,34299,26677,20570,18166,15430,12391,9352,-3039
29,Missouri,61726,55016,49764,46038,42137,45097,34265,27361,23443,20775,16225,11675,-4550.111111
30,Montana,57679,57075,45088,42900,33956,32777,28684,26525,22231,19536,15298,11060,-4238.111111
31,Nebraska,67575,59374,52196,50728,43786,41750,34014,30048,25159,21397,16266,11135,-5130.888889
32,Nevada,61864,55431,47333,54744,47204,45758,38540,31908,27983,25776,21766,17756,-4009.777778
33,New Hampshire,81346,76260,67819,66176,56815,50926,39407,39436,34625,25914,19755,13596,-6159.111111
34,New Jersey,74176,68468,66692,65306,55275,50405,47468,39000,36287,27776,22620,17464,-5155.555556
35,New Mexico,48283,48451,43424,42102,39562,35093,25086,25860,19296,20630,17557,14484,-3072.555556
36,New York,67274,61437,47680,50461,44649,40744,35410,31051,28915,22027,17000,11973,-5027.444444
37,North Carolina,53369,53764,41553,42930,40238,38317,35601,27771,24415,20569,16925,13281,-3644.444444
38,North Dakota,66505,60184,55766,49631,39220,35996,31470,26959,24092,20771,15689,10607,-5081.555556
39,Ohio,61633,53985,44375,46934,43055,42962,34070,31404,27740,23123,18844,14565,-4278.888889
40,Oklahoma,54434,50943,48407,46111,39614,32432,27437,25284,23667,21148,17450,13752,-3698.444444
41,Oregon,69165,59135,51775,51727,40994,42499,35492,31927,27748,21399,16092,10785,-5307.333333
42,Pennsylvania,64524,60979,51904,51402,44106,42176,34899,29882,26742,20346,15437,10528,-4908.666667
44,Rhode Island,62266,61528,56065,53241,47935,42197,36986,30432,29842,21612,17095,12578,-4517.111111
45,South Carolina,57444,54336,44401,42155,38691,37570,34665,27578,25533,20309,16183,12057,-4126.111111
46,South Dakota,59463,57450,49415,51600,41107,36475,29526,26259,22294,19409,14959,10509,-4450.444444
47,Tennessee,56060,51344,42995,39702,38072,34096,30790,24318,20856,16782,12418,8054,-4364.222222
48,Texas,59785,58146,51926,46490,41397,38609,33072,27953,24963,23024,18939,14854,-4084.555556
49,Utah,77067,67481,58341,62537,50871,47550,37038,34251,26313,23057,17056,11055,-6001.111111
50,Vermont,70066,60837,55582,50706,47329,39594,32358,32755,28988,22578,17302,12026,-5276.444444
51,Virginia,77151,66451,64632,61985,51141,47163,39211,38198,32648,26525,20900,15275,-5625.111111
53,Washington,79726,70310,62187,56631,49922,42525,36676,33900,32327,25017,18938,12859,-6078.777778
54,West Virginia,50573,44354,43553,37994,33373,29411,25247,20271,19353,16843,13095,9347,-3747.777778
55,Wisconsin,62629,59817,53079,51200,45732,45088,40001,33308,29575,20743,16089,11435,-4654
56,Wyoming,62539,57829,57512,53337,45397,39629,30953,30209,26419,23816,19513,15210,-4302.555556